ip_address,user_agent,campaign_id,publisher_id,time_between_clicks_minutes,EVENT_LABEL,EVENT_TIMESTAMP,EVENT_ID,ENTITY_TYPE,ENTITY_ID,click_id,app_category_id,LABEL_TIMESTAMP
217.255.64.46,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_1 rv:4.0; kn-IN) AppleWebKit/533.15.5 (KHTML, like Gecko) Version/4.0.3 Safari/533.15.5",381,rvTx89,1873.0,legit,2022-04-30T13:52:47Z,ca731256-63f1-49e6-af62-b794ed6c60a7,customer,b340-44011385,957773,THUs,2023-03-06T15:05:46Z
123.51.147.129,Opera/9.95.(Windows NT 6.1; id-ID) Presto/2.9.188 Version/11.00,022,JpSV15,2634.0,legit,2022-06-10T01:00:59Z,3c66382d-8940-4ac6-a6a4-9cafa4f9ef93,customer,c288-54245741,319270,eehJ,2023-03-06T15:05:46Z
38.228.246.166,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/5.1),863,FgYy23,2031.0,legit,2022-08-14T04:06:26Z,f8d4e6ac-4549-4fa9-ada9-794047d39afa,customer,c564-04701944,414167,tJEk,2023-03-06T15:05:46Z
157.63.114.111,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_9) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/45.0.866.0 Safari/532.1",991,GVac28,1222.0,legit,2022-10-24T06:58:01Z,3e14e145-67bd-45ca-aed4-865f11bc653a,customer,b427-90653731,476817,WrUM,2023-03-06T15:05:46Z
219.131.104.190,"Mozilla/5.0 (Linux; Android 4.0.2) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/59.0.827.0 Safari/534.1",260,RxLd73,1676.0,legit,2022-06-08T11:35:31Z,70a213ce-39a4-4213-a401-54af833c4616,customer,a410-05165014,560154,WhiG,2023-03-06T15:05:46Z
97.154.126.52,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/3.1),954,zNTl10,2085.0,legit,2022-04-24T03:21:26Z,dcb325e3-ab16-4efe-87a5-92db5298e17e,customer,d811-06104945,480800,yFAP,2023-03-06T15:05:46Z
221.196.67.121,Opera/8.64.(X11; Linux i686; ja-JP) Presto/2.9.177 Version/10.00,822,VAjg68,714.0,legit,2023-03-06T10:17:07Z,da8bcffb-d13b-4f84-aa3d-efcb1f7cea7d,customer,a925-36361173,093354,WMHg,2023-03-06T15:05:46Z
141.166.4.93,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_2; rv:1.9.5.20) Gecko/2022-01-01 17:14:57 Firefox/3.8,000,ZDOt13,1246.0,legit,2022-10-06T20:31:14Z,dea709a6-04f6-49c6-a70d-451202e27f7e,customer,c645-69504112,921388,KHfD,2023-03-06T15:05:46Z
221.139.29.28,Opera/8.46.(X11; Linux i686; sw-TZ) Presto/2.9.163 Version/11.00,980,GNpe95,1117.0,legit,2022-06-18T01:31:25Z,2025aba2-e17f-472e-ae08-0b98bfa4267a,customer,a406-33223951,995813,WZdW,2023-03-06T15:05:46Z
206.166.129.17,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) CriOS/20.0.801.0 Mobile/86P997 Safari/533.0",314,dyqq91,2725.0,legit,2022-10-30T08:40:29Z,35a89b13-c35e-4006-8a21-a3d73579b26f,customer,b430-95302879,808438,pUxF,2023-03-06T15:05:46Z
56.41.124.255,Opera/9.44.(Windows NT 6.1; ln-CD) Presto/2.9.188 Version/10.00,292,xdXC61,1424.0,legit,2022-11-05T20:00:33Z,fc308ba1-0796-4f06-8bed-50cc3bac85d8,customer,d063-99680165,015987,tKXE,2023-03-06T15:05:46Z
213.75.130.193,Opera/8.64.(Windows 95; fr-LU) Presto/2.9.185 Version/10.00,673,gXpZ13,3135.0,legit,2022-04-29T19:49:28Z,90b7751c-dfa7-43cc-8ec0-aa0e5b55229a,customer,c934-20292940,829009,HbFT,2023-03-06T15:05:46Z
202.121.132.2,Opera/8.63.(X11; Linux x86_64; wa-BE) Presto/2.9.173 Version/10.00,327,lTRS03,1653.0,legit,2023-01-07T06:55:10Z,03870d81-32a0-43ff-9f30-276afc8d4d91,customer,c501-74978501,968342,asWZ,2023-03-06T15:05:46Z
180.61.78.48,Opera/8.60.(X11; Linux i686; wae-CH) Presto/2.9.167 Version/12.00,392,Oows06,3400.0,legit,2022-03-14T14:39:40Z,ae1e1eb0-3d1f-4b7b-a890-5f562dbc4976,customer,b243-58888017,711447,vmLw,2023-03-06T15:05:46Z
218.105.104.6,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2016-04-30 15:37:01 Firefox/3.8,733,yrBn25,3101.0,legit,2022-05-22T07:19:15Z,f614e6bd-569b-4b26-b222-55fc3b6497fa,customer,a390-93445487,385460,QmnN,2023-03-06T15:05:46Z
148.157.84.144,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_6 rv:2.0; bhb-IN) AppleWebKit/531.12.6 (KHTML, like Gecko) Version/5.0 Safari/531.12.6",937,VmOL77,2490.0,legit,2023-02-19T04:40:23Z,0b31b598-c104-4a7c-8202-c4ebf97062d0,customer,a923-05287904,805372,DVGY,2023-03-06T15:05:46Z
220.183.77.100,Mozilla/5.0 (Windows NT 6.2; sw-TZ; rv:1.9.0.20) Gecko/2019-05-28 17:47:55 Firefox/3.6.20,128,TKoG26,3260.0,legit,2022-08-10T11:00:19Z,a1e49ddd-f3c9-4eb9-8254-96168fe5675d,customer,c280-66039213,683370,SWbp,2023-03-06T15:05:46Z
124.183.249.200,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/532.4.2 (KHTML, like Gecko) Version/4.0.4 Safari/532.4.2",166,lvZo53,2342.0,legit,2022-08-22T21:23:48Z,3a7a6959-83ab-4f1d-bcff-582e237b8d6f,customer,a597-90457049,833496,qiMl,2023-03-06T15:05:46Z
210.96.126.158,Opera/9.36.(X11; Linux i686; ak-GH) Presto/2.9.168 Version/12.00,593,KFDN23,1687.0,legit,2022-07-21T16:53:23Z,3ae60dd7-e7b8-49bd-a292-04e5ca13728f,customer,b286-51634534,094905,ECcj,2023-03-06T15:05:46Z
213.181.56.255,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/30.0.860.0 Safari/532.0",064,Rdyf18,1664.0,legit,2022-08-31T11:50:34Z,89c2ff5c-d8ee-4557-8b8b-6f30ae398317,customer,a695-72431516,800364,Rwdg,2023-03-06T15:05:46Z
132.157.69.167,Mozilla/5.0 (Windows 98; Win 9x 4.90; szl-PL; rv:1.9.2.20) Gecko/2012-12-28 15:20:40 Firefox/3.8,297,PNcN54,2730.0,legit,2023-01-19T19:36:19Z,72affed7-21bf-4c2e-9f55-c0561cf01856,customer,c440-18177991,390757,cTTf,2023-03-06T15:05:46Z
209.154.217.128,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; ik-CA) AppleWebKit/533.37.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6533.37.7",061,iCGe37,1929.0,legit,2022-07-24T08:27:20Z,6b2788b5-8903-4a19-b2bf-b9f7ac55f84d,customer,c712-45951121,589246,TLxn,2023-03-06T15:05:46Z
151.136.147.151,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/535.25.3 (KHTML, like Gecko) Version/4.1 Safari/535.25.3",996,xhBw52,2790.0,legit,2022-07-10T20:59:55Z,52728aa2-7c9e-4d7f-9cd1-2164a71639da,customer,a483-26599680,348702,lCaL,2023-03-06T15:05:46Z
155.52.73.1,Opera/9.58.(Windows 98; ka-GE) Presto/2.9.182 Version/12.00,765,ahwq50,1728.0,legit,2022-05-19T17:44:37Z,dfda1f20-8d70-41e0-93bc-e782f6640fb3,customer,b319-49323386,233326,jLUS,2023-03-06T15:05:46Z
123.81.235.95,Opera/9.11.(X11; Linux x86_64; wae-CH) Presto/2.9.172 Version/12.00,152,AMnb02,2363.0,legit,2023-02-27T19:12:11Z,0b08634d-9aa6-4d0b-ab1f-5afc1fea4e76,customer,b715-30149480,450424,vJrK,2023-03-06T15:05:46Z
212.187.109.17,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_4 rv:6.0; cv-RU) AppleWebKit/535.1.1 (KHTML, like Gecko) Version/5.0.3 Safari/535.1.1",028,imyx24,3172.0,legit,2023-02-15T03:18:29Z,c7537319-86fc-4a18-8c9f-a8429ae9dcbb,customer,b599-92766323,053061,Kxqe,2023-03-06T15:05:46Z
187.94.239.55,Opera/9.98.(X11; Linux i686; lv-LV) Presto/2.9.183 Version/11.00,758,teCL32,1556.0,legit,2022-06-27T03:38:48Z,f694f2ec-31b1-4ed0-8e94-9f33721668e9,customer,d855-49444683,515293,ouET,2023-03-06T15:05:46Z
